epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3515.49,1.11347,0.96698,1.06687,0.58972,0.64965,0.65045,0.45647,1.04853,0.76441,1.03726,0.000416467,0.000416467,0.000416467
2,6819.2,1.08466,0.81258,1.06121,0.69321,0.7201,0.69853,0.49693,1.01854,0.70814,1.03006,0.000805641,0.000805641,0.000805641
3,10168.8,1.06469,0.77617,1.05387,0.73535,0.70899,0.73093,0.52487,1.02214,0.68388,1.03891,0.00116731,0.00116731,0.00116731
4,13611.8,1.03902,0.72839,1.04424,0.83067,0.70967,0.78506,0.56241,0.98832,0.64813,1.01632,0.00112625,0.00112625,0.00112625
5,17371.7,1.02664,0.70205,1.03262,0.67111,0.68567,0.7372,0.52722,0.96707,0.66616,1.00406,0.001085,0.001085,0.001085
6,21002.8,1.01151,0.68564,1.03107,0.76691,0.73685,0.80402,0.58125,0.96219,0.60606,1.00601,0.00104375,0.00104375,0.00104375
7,24533.5,0.99764,0.65743,1.02252,0.86777,0.74689,0.83813,0.61418,0.95089,0.58031,1.00524,0.0010025,0.0010025,0.0010025
8,27954.8,0.98794,0.65137,1.01759,0.84275,0.74866,0.83555,0.60532,0.94885,0.5917,1.00503,0.00096125,0.00096125,0.00096125
9,31243.6,0.97499,0.63164,1.01279,0.80783,0.77744,0.85983,0.63851,0.95293,0.58894,0.99613,0.00092,0.00092,0.00092
10,34487.9,0.96588,0.6193,1.00693,0.82581,0.7422,0.84407,0.61787,0.94265,0.56138,0.99552,0.00087875,0.00087875,0.00087875
11,37749.2,0.95154,0.5944,0.99642,0.86924,0.77351,0.85563,0.65231,0.93156,0.56715,0.98959,0.0008375,0.0008375,0.0008375
12,41073.9,0.94222,0.59326,0.98963,0.81076,0.76606,0.83169,0.62543,0.92392,0.56329,0.98284,0.00079625,0.00079625,0.00079625
13,44480.6,0.93701,0.58025,0.99363,0.87599,0.78163,0.86059,0.6382,0.92066,0.55312,0.98597,0.000755,0.000755,0.000755
14,47891,0.92651,0.57015,0.98958,0.83786,0.74653,0.87043,0.65708,0.91198,0.53978,0.98218,0.00071375,0.00071375,0.00071375
15,51310.3,0.9158,0.56748,0.9911,0.87146,0.76737,0.87243,0.66381,0.92047,0.55016,0.98207,0.0006725,0.0006725,0.0006725
16,54745.8,0.90042,0.55187,0.97885,0.87478,0.77113,0.86173,0.65235,0.9199,0.53959,0.98039,0.00063125,0.00063125,0.00063125
17,58213.3,0.89632,0.54616,0.9785,0.8203,0.80578,0.87561,0.6676,0.90326,0.52508,0.97841,0.00059,0.00059,0.00059
18,61716.7,0.89717,0.53949,0.97562,0.90999,0.77666,0.88678,0.6757,0.91536,0.52526,0.97805,0.00054875,0.00054875,0.00054875
19,65050.1,0.88924,0.53259,0.97334,0.82839,0.82853,0.88405,0.67407,0.90962,0.52234,0.98204,0.0005075,0.0005075,0.0005075
20,68373.9,0.8715,0.51885,0.9665,0.84967,0.82569,0.87812,0.66984,0.90088,0.53395,0.97788,0.00046625,0.00046625,0.00046625
21,71637.1,0.84577,0.48067,0.95209,0.89665,0.80759,0.89429,0.67844,0.90007,0.51139,0.97468,0.000425,0.000425,0.000425
22,74913.5,0.83695,0.46763,0.94457,0.81932,0.8139,0.87749,0.67076,0.90214,0.51465,0.97729,0.00038375,0.00038375,0.00038375
23,78171.3,0.82238,0.45892,0.93915,0.88094,0.82074,0.89079,0.68044,0.89224,0.5091,0.97501,0.0003425,0.0003425,0.0003425
24,81442.6,0.81686,0.45075,0.93666,0.91368,0.77836,0.89571,0.68728,0.88891,0.50125,0.97162,0.00030125,0.00030125,0.00030125
25,84712.8,0.80595,0.44158,0.93437,0.85065,0.81017,0.88659,0.68861,0.88527,0.50981,0.97275,0.00026,0.00026,0.00026
26,87971.8,0.79083,0.43348,0.92979,0.8395,0.78824,0.89303,0.68905,0.89323,0.50697,0.97658,0.00021875,0.00021875,0.00021875
27,91237.5,0.78476,0.4258,0.92581,0.8597,0.79336,0.884,0.68309,0.88901,0.51379,0.97317,0.0001775,0.0001775,0.0001775
28,94505.5,0.77591,0.41644,0.92152,0.86804,0.82505,0.89601,0.69584,0.88415,0.49964,0.96962,0.00013625,0.00013625,0.00013625
29,97781,0.76591,0.40748,0.91809,0.85583,0.81358,0.89067,0.69262,0.8792,0.50082,0.96867,9.5e-05,9.5e-05,9.5e-05
30,101123,0.75647,0.40077,0.91852,0.88136,0.8033,0.89075,0.69102,0.87748,0.49803,0.96966,5.375e-05,5.375e-05,5.375e-05
